//key keyCode modifier posX posY limX limY
q 0x51 0 5.5 14.3 25 25
w 0x57 0 15.4 14.3 25 25
e 0x45 0 25.3 14.3 25 25
r 0x52 0 35.1 14.3 25 25
t 0x54 0 45.3 14.3 25 25
y 0x59 0 55.5 14.3 25 25
u 0x55 0 65.3 14.3 25 25
i 0x49 0 75 14.3 25 25
o 0x4F 0 84.6 14.3 25 25
p 0x50 0 94.6 14.3 25 25
a 0x41 0 5.5 38 25 25
s 0x53 0 15.4 38 25 25
d 0x44 0 25.3 38 25 25
f 0x46 0 35.1 38 25 25
g 0x47 0 45.3 38 25 25
h 0x48 0 55.5 38 25 25
j 0x4A 0 65.3 38 25 25
k 0x4B 0 75 38 25 25
l 0x4C 0 84.6 38 25 25
z 0x5A 0 25.3 62.2 25 25
x 0x58 0 35.1 62.2 25 25
c 0x43 0 45.3 62.2 25 25
v 0x56 0 55.5 62.2 25 25
b 0x42 0 65.3 62.2 25 25
n 0x4E 0 75 62.2 25 25
m 0x4D 0 84.6 62.2 25 25
shift 0x10 1 9.7 62.2 50 25
enter 0x0D 0 94.6 50 25 70
ctrl 0x11 1 9.7 85 50 25
space 0x20 0 41.5 85 120 25
backspace 0x08 0 72.5 85 50 25
alt 0x12 1 91 85 50 25
